store_id,date,day_of_week,is_weekend,is_public_holiday,is_school_term,is_retail_peak,demand_index,transaction_count,sales_amount
10,2024-07-07,6,True,False,False,True,171.61,172,6084.15
11,2024-07-07,6,True,False,False,True,240.79,241,10086.21
12,2024-07-07,6,True,False,False,True,156.3,156,6361.44
1,2024-07-08,0,False,False,False,True,86.53,87,4272.15
2,2024-07-08,0,False,False,False,True,194.64,195,7910.19
3,2024-07-08,0,False,False,False,True,76.61,77,4064.27
4,2024-07-08,0,False,False,False,True,134.37,134,5102.51
5,2024-07-08,0,False,False,False,True,114.57,115,4047.88
6,2024-07-08,0,False,False,False,True,198.06,198,6948.77
7,2024-07-08,0,False,False,False,True,134.76,135,4876.38
8,2024-07-08,0,False,False,False,True,141.48,141,6351.34
9,2024-07-08,0,False,False,False,True,98.2,98,3690.95
10,2024-07-08,0,False,False,False,True,121.51,122,5814.42
11,2024-07-08,0,False,False,False,True,199.89,200,9304.74
12,2024-07-08,0,False,False,False,True,139.59,140,5635.01
1,2024-07-09,1,False,False,False,True,114.67,115,5022.62
2,2024-07-09,1,False,False,False,True,189.79,190,8156.64
3,2024-07-09,1,False,False,False,True,119.09,119,5409.46
4,2024-07-09,1,False,False,False,True,134.02,134,6077.48
5,2024-07-09,1,False,False,False,True,227.48,227,9445.76
6,2024-07-09,1,False,False,False,True,205.36,205,8474.85
7,2024-07-09,1,False,False,False,True,121.55,122,5014.33
8,2024-07-09,1,False,False,False,True,135.93,136,6887.2
9,2024-07-09,1,False,False,False,True,112.33,112,5316.2
10,2024-07-09,1,False,False,False,True,120.68,121,4377.72
11,2024-07-09,1,False,False,False,True,219.56,220,9186.65
12,2024-07-09,1,False,False,False,True,104.37,104,4773.18
1,2024-07-10,2,False,False,False,True,125.79,126,6848.41
2,2024-07-10,2,False,False,False,True,210.32,210,9924.02
3,2024-07-10,2,False,False,False,True,103.88,104,3758.11
4,2024-07-10,2,False,False,False,True,175.36,175,7163.26
5,2024-07-10,2,False,False,False,True,127.68,128,4963.3
6,2024-07-10,2,False,False,False,True,172.93,173,6197.1
7,2024-07-10,2,False,False,False,True,120.41,120,4617.56
8,2024-07-10,2,False,False,False,True,139.26,139,7261.5
9,2024-07-10,2,False,False,False,True,114.32,114,4506.44
10,2024-07-10,2,False,False,False,True,181.07,181,7008.39
11,2024-07-10,2,False,False,False,True,209.4,209,8169.48
12,2024-07-10,2,False,False,False,True,186.04,186,7240.85
1,2024-07-11,3,False,False,False,True,76.68,77,3976.69
2,2024-07-11,3,False,False,False,True,224.63,225,11181.29
3,2024-07-11,3,False,False,False,True,112.58,113,4229.48
4,2024-07-11,3,False,False,False,True,137.63,138,6967.4
5,2024-07-11,3,False,False,False,True,238.27,238,10193.16
6,2024-07-11,3,False,False,False,True,163.09,163,8033.07
7,2024-07-11,3,False,False,False,True,179.0,179,7105.12
8,2024-07-11,3,False,False,False,True,189.4,189,8257.46
9,2024-07-11,3,False,False,False,True,108.08,108,5262.08
10,2024-07-11,3,False,False,False,True,206.55,207,9794.28
11,2024-07-11,3,False,False,False,True,267.68,268,12890.85
12,2024-07-11,3,False,False,False,True,190.43,190,10393.03
1,2024-07-12,4,False,False,False,True,116.99,117,6349.19
2,2024-07-12,4,False,False,False,True,292.24,292,15230.63
3,2024-07-12,4,False,False,False,True,211.24,211,9691.33
4,2024-07-12,4,False,False,False,True,188.79,189,8169.06
5,2024-07-12,4,False,False,False,True,279.89,280,11745.77
6,2024-07-12,4,False,False,False,True,186.07,186,7480.87
7,2024-07-12,4,False,False,False,True,161.79,162,7114.85
8,2024-07-12,4,False,False,False,True,180.84,181,9176.8
9,2024-07-12,4,False,False,False,True,127.56,128,5290.17
10,2024-07-12,4,False,False,False,True,203.62,204,8478.08
11,2024-07-12,4,False,False,False,True,194.9,195,7923.68
12,2024-07-12,4,False,False,False,True,201.12,201,7168.19
1,2024-07-13,5,True,False,False,True,123.49,123,5921.06
2,2024-07-13,5,True,False,False,True,293.86,294,11506.47
3,2024-07-13,5,True,False,False,True,169.73,170,6854.09
4,2024-07-13,5,True,False,False,True,202.82,203,10675.43
5,2024-07-13,5,True,False,False,True,341.01,341,18702.1
6,2024-07-13,5,True,False,False,True,339.85,340,15155.13
7,2024-07-13,5,True,False,False,True,193.08,193,8897.18
8,2024-07-13,5,True,False,False,True,215.35,215,7864.85
9,2024-07-13,5,True,False,False,True,153.81,154,6600.44
10,2024-07-13,5,True,False,False,True,219.67,220,10924.8
11,2024-07-13,5,True,False,False,True,265.83,266,12652.58
12,2024-07-13,5,True,False,False,True,190.33,190,9782.29
1,2024-07-14,6,True,False,False,True,124.58,125,6255.59
2,2024-07-14,6,True,False,False,True,322.17,322,17416.75
3,2024-07-14,6,True,False,False,True,142.91,143,5680.57
4,2024-07-14,6,True,False,False,True,202.5,202,10565.95
5,2024-07-14,6,True,False,False,True,259.91,260,12486.71
6,2024-07-14,6,True,False,False,True,226.78,227,11469.47
7,2024-07-14,6,True,False,False,True,197.21,197,10567.85
8,2024-07-14,6,True,False,False,True,192.97,193,9229.98
9,2024-07-14,6,True,False,False,True,131.7,132,7074.91
10,2024-07-14,6,True,False,False,True,181.2,181,6350.07
11,2024-07-14,6,True,False,False,True,254.03,254,13419.17
12,2024-07-14,6,True,False,False,True,204.96,205,10087.62
1,2024-07-15,0,False,False,False,True,93.74,94,4475.4
2,2024-07-15,0,False,False,False,True,140.39,140,6053.66
3,2024-07-15,0,False,False,False,True,95.07,95,3414.82
4,2024-07-15,0,False,False,False,True,117.2,117,5404.41
5,2024-07-15,0,False,False,False,True,193.6,194,10346.12
6,2024-07-15,0,False,False,False,True,129.1,129,5776.63
7,2024-07-15,0,False,False,False,True,124.08,124,5958.15
8,2024-07-15,0,False,False,False,True,106.86,107,4620.01
9,2024-07-15,0,False,False,False,True,82.43,82,4504.9
10,2024-07-15,0,False,False,False,True,97.02,97,4401.49
11,2024-07-15,0,False,False,False,True,181.99,182,6547.01
12,2024-07-15,0,False,False,False,True,153.55,154,7730.56
1,2024-07-16,1,False,False,False,True,94.45,94,4112.17
2,2024-07-16,1,False,False,False,True,221.75,222,9126.07
3,2024-07-16,1,False,False,False,True,105.74,106,5443.11
4,2024-07-16,1,False,False,False,True,132.93,133,6180.16
5,2024-07-16,1,False,False,False,True,126.81,127,4692.05
6,2024-07-16,1,False,False,False,True,163.73,164,6168.28
7,2024-07-16,1,False,False,False,True,161.01,161,7238.96
8,2024-07-16,1,False,False,False,True,116.12,116,6246.93
9,2024-07-16,1,False,False,False,True,72.74,73,3363.7
10,2024-07-16,1,False,False,False,True,120.82,121,4590.38
11,2024-07-16,1,False,False,False,True,151.19,151,5829.76
12,2024-07-16,1,False,False,False,True,156.85,157,6685.28
1,2024-07-17,2,False,False,False,True,97.17,97,3692.57
2,2024-07-17,2,False,False,False,True,184.13,184,10104.82
3,2024-07-17,2,False,False,False,True,96.28,96,4180.08
4,2024-07-17,2,False,False,False,True,105.79,106,5728.31
5,2024-07-17,2,False,False,False,True,210.72,211,7414.75
6,2024-07-17,2,False,False,False,True,181.48,181,9706.56
7,2024-07-17,2,False,False,False,True,140.71,141,5978.52
8,2024-07-17,2,False,False,False,True,132.77,133,5673.41
9,2024-07-17,2,False,False,False,True,90.58,91,3537.83
10,2024-07-17,2,False,False,False,True,93.24,93,5054.86
11,2024-07-17,2,False,False,False,True,179.89,180,8896.15
12,2024-07-17,2,False,False,False,True,152.84,153,7020.15
1,2024-07-18,3,False,False,False,True,97.88,98,4291.02
2,2024-07-18,3,False,False,False,True,190.75,191,10491.73
3,2024-07-18,3,False,False,False,True,133.7,134,5130.0
4,2024-07-18,3,False,False,False,True,147.17,147,5906.82
5,2024-07-18,3,False,False,False,True,181.41,181,7263.83
6,2024-07-18,3,False,False,False,True,193.5,193,7281.31
7,2024-07-18,3,False,False,False,True,156.41,156,6131.02
8,2024-07-18,3,False,False,False,True,143.25,143,6800.85
9,2024-07-18,3,False,False,False,True,114.31,114,5431.06
10,2024-07-18,3,False,False,False,True,134.48,134,5803.02
11,2024-07-18,3,False,False,False,True,209.31,209,8066.78
12,2024-07-18,3,False,False,False,True,146.9,147,6439.21
1,2024-07-19,4,False,False,False,True,154.76,155,5881.02
2,2024-07-19,4,False,False,False,True,213.59,214,7537.82
3,2024-07-19,4,False,False,False,True,124.62,125,4640.44
4,2024-07-19,4,False,False,False,True,200.09,200,8911.16
5,2024-07-19,4,False,False,False,True,282.33,282,14401.3
6,2024-07-19,4,False,False,False,True,326.34,326,12553.21
7,2024-07-19,4,False,False,False,True,137.88,138,7279.84
8,2024-07-19,4,False,False,False,True,130.7,131,5115.96
9,2024-07-19,4,False,False,False,True,136.14,136,6439.27
10,2024-07-19,4,False,False,False,True,222.13,222,9704.1
11,2024-07-19,4,False,False,False,True,245.7,246,11815.42
12,2024-07-19,4,False,False,False,True,219.63,220,11352.05
1,2024-07-20,5,True,False,False,True,157.23,157,7817.16
2,2024-07-20,5,True,False,False,True,179.81,180,6576.85
3,2024-07-20,5,True,False,False,True,187.2,187,8802.99
4,2024-07-20,5,True,False,False,True,223.58,224,9194.62
5,2024-07-20,5,True,False,False,True,297.7,298,11088.37
6,2024-07-20,5,True,False,False,True,338.62,339,14828.51
7,2024-07-20,5,True,False,False,True,223.79,224,8338.6
8,2024-07-20,5,True,False,False,True,225.48,225,9523.01
9,2024-07-20,5,True,False,False,True,133.6,134,6779.38
10,2024-07-20,5,True,False,False,True,194.88,195,8681.7
11,2024-07-20,5,True,False,False,True,313.61,314,13858.78
12,2024-07-20,5,True,False,False,True,247.53,248,9016.55
1,2024-07-21,6,True,False,False,True,106.57,107,4885.24
2,2024-07-21,6,True,False,False,True,166.59,167,8919.08
3,2024-07-21,6,True,False,False,True,184.6,185,7237.15
4,2024-07-21,6,True,False,False,True,193.41,193,7737.01
5,2024-07-21,6,True,False,False,True,231.32,231,10183.56
6,2024-07-21,6,True,False,False,True,250.23,250,11660.66
7,2024-07-21,6,True,False,False,True,237.28,237,11032.29
8,2024-07-21,6,True,False,False,True,193.44,193,9292.96
9,2024-07-21,6,True,False,False,True,133.43,133,5975.87
10,2024-07-21,6,True,False,False,True,209.23,209,8254.86
11,2024-07-21,6,True,False,False,True,252.93,253,10228.34
12,2024-07-21,6,True,False,False,True,222.56,223,9716.3
1,2024-07-22,0,False,False,True,False,99.97,100,4985.04
2,2024-07-22,0,False,False,True,False,188.34,188,8132.74
3,2024-07-22,0,False,False,True,False,98.23,98,5296.41
4,2024-07-22,0,False,False,True,False,118.32,118,4780.18
5,2024-07-22,0,False,False,True,False,132.16,132,6754.06
6,2024-07-22,0,False,False,True,False,167.7,168,8905.48
7,2024-07-22,0,False,False,True,False,122.06,122,4806.24
8,2024-07-22,0,False,False,True,False,143.8,144,6897.69
9,2024-07-22,0,False,False,True,False,82.09,82,4265.59
10,2024-07-22,0,False,False,True,False,106.51,107,5013.27
11,2024-07-22,0,False,False,True,False,138.95,139,7225.78
12,2024-07-22,0,False,False,True,False,113.89,114,4660.7
1,2024-07-23,1,False,False,True,False,92.17,92,4049.54
2,2024-07-23,1,False,False,True,False,190.61,191,9382.36
3,2024-07-23,1,False,False,True,False,62.29,62,2338.75
4,2024-07-23,1,False,False,True,False,165.9,166,6309.02
5,2024-07-23,1,False,False,True,False,141.4,141,5336.3
6,2024-07-23,1,False,False,True,False,133.41,133,7049.3
7,2024-07-23,1,False,False,True,False,103.7,104,3669.65
8,2024-07-23,1,False,False,True,False,129.43,129,7056.55
9,2024-07-23,1,False,False,True,False,84.29,84,4448.88
10,2024-07-23,1,False,False,True,False,117.85,118,4499.9
11,2024-07-23,1,False,False,True,False,153.55,154,7698.15
12,2024-07-23,1,False,False,True,False,116.47,116,6366.87
1,2024-07-24,2,False,False,True,False,111.66,112,4124.41
2,2024-07-24,2,False,False,True,False,116.71,117,5235.98
3,2024-07-24,2,False,False,True,False,123.28,123,4364.23
4,2024-07-24,2,False,False,True,False,143.2,143,6517.67
5,2024-07-24,2,False,False,True,False,148.37,148,6003.86
6,2024-07-24,2,False,False,True,False,164.09,164,7791.8
7,2024-07-24,2,False,False,True,False,158.56,159,6521.64
8,2024-07-24,2,False,False,True,False,149.48,149,7785.16
9,2024-07-24,2,False,False,True,False,84.88,85,3623.6
10,2024-07-24,2,False,False,True,False,133.9,134,4723.75
11,2024-07-24,2,False,False,True,False,193.42,193,8499.67
12,2024-07-24,2,False,False,True,False,116.96,117,6103.87
1,2024-07-25,3,False,False,True,False,86.05,86,3256.96
2,2024-07-25,3,False,False,True,False,211.05,211,8690.32
3,2024-07-25,3,False,False,True,False,95.36,95,4791.92
4,2024-07-25,3,False,False,True,False,138.87,139,7409.94
5,2024-07-25,3,False,False,True,False,187.42,187,10015.67
6,2024-07-25,3,False,False,True,False,157.68,158,7137.09
7,2024-07-25,3,False,False,True,False,163.22,163,7567.03
8,2024-07-25,3,False,False,True,False,158.92,159,7622.22
9,2024-07-25,3,False,False,True,False,111.07,111,4815.53
10,2024-07-25,3,False,False,True,False,141.26,141,5216.7
11,2024-07-25,3,False,False,True,False,240.67,241,9832.62
12,2024-07-25,3,False,False,True,False,168.02,168,7318.73
1,2024-07-26,4,False,False,True,False,101.65,102,5565.68
2,2024-07-26,4,False,False,True,False,203.57,204,10573.78
3,2024-07-26,4,False,False,True,False,117.69,118,5788.64
4,2024-07-26,4,False,False,True,False,173.42,173,7409.25
5,2024-07-26,4,False,False,True,False,190.32,190,9354.3
6,2024-07-26,4,False,False,True,False,180.37,180,7650.39
7,2024-07-26,4,False,False,True,False,195.63,196,7794.89
8,2024-07-26,4,False,False,True,False,168.46,168,7776.42
9,2024-07-26,4,False,False,True,False,122.68,123,4444.61
10,2024-07-26,4,False,False,True,False,123.45,123,4364.29
11,2024-07-26,4,False,False,True,False,196.25,196,8242.55
12,2024-07-26,4,False,False,True,False,162.96,163,8188.0
1,2024-07-27,5,True,False,True,False,143.99,144,6325.63
2,2024-07-27,5,True,False,True,False,169.87,170,6017.97
3,2024-07-27,5,True,False,True,False,221.08,221,8606.79
4,2024-07-27,5,True,False,True,False,178.26,178,6763.83
5,2024-07-27,5,True,False,True,False,264.86,265,11907.73
6,2024-07-27,5,True,False,True,False,277.73,278,11801.15
7,2024-07-27,5,True,False,True,False,203.14,203,9690.1
8,2024-07-27,5,True,False,True,False,160.01,160,7715.27
9,2024-07-27,5,True,False,True,False,119.62,120,6051.43
10,2024-07-27,5,True,False,True,False,202.45,202,10267.89
11,2024-07-27,5,True,False,True,False,256.2,256,10811.36
12,2024-07-27,5,True,False,True,False,242.62,243,9385.98
1,2024-07-28,6,True,False,True,False,115.42,115,5994.45
2,2024-07-28,6,True,False,True,False,248.86,249,12565.8
3,2024-07-28,6,True,False,True,False,77.86,78,3340.28
4,2024-07-28,6,True,False,True,False,161.88,162,8008.43
5,2024-07-28,6,True,False,True,False,230.57,231,12357.18
6,2024-07-28,6,True,False,True,False,175.34,175,7842.99
7,2024-07-28,6,True,False,True,False,130.88,131,7108.36
8,2024-07-28,6,True,False,True,False,169.64,170,7094.16
9,2024-07-28,6,True,False,True,False,103.55,104,5263.7
10,2024-07-28,6,True,False,True,False,130.09,130,5110.68
11,2024-07-28,6,True,False,True,False,229.77,230,12074.27
12,2024-07-28,6,True,False,True,False,174.36,174,6710.04
1,2024-07-29,0,False,False,True,False,75.54,76,3149.25
2,2024-07-29,0,False,False,True,False,137.15,137,6604.16
3,2024-07-29,0,False,False,True,False,114.71,115,5247.31
4,2024-07-29,0,False,False,True,False,95.28,95,4162.15
5,2024-07-29,0,False,False,True,False,163.0,163,8123.61
6,2024-07-29,0,False,False,True,False,150.52,151,7998.36
7,2024-07-29,0,False,False,True,False,120.69,121,4912.81
8,2024-07-29,0,False,False,True,False,131.04,131,5527.05
9,2024-07-29,0,False,False,True,False,81.34,81,3382.55
10,2024-07-29,0,False,False,True,False,80.42,80,3063.08
11,2024-07-29,0,False,False,True,False,151.24,151,5474.9
12,2024-07-29,0,False,False,True,False,119.63,120,5363.05
1,2024-07-30,1,False,False,True,False,64.54,65,3324.52
2,2024-07-30,1,False,False,True,False,130.72,131,6206.69
3,2024-07-30,1,False,False,True,False,94.74,95,4311.69
4,2024-07-30,1,False,False,True,False,154.85,155,8195.37
5,2024-07-30,1,False,False,True,False,135.25,135,6009.31
6,2024-07-30,1,False,False,True,False,189.07,189,7098.99
7,2024-07-30,1,False,False,True,False,133.44,133,5540.74
8,2024-07-30,1,False,False,True,False,177.65,178,8631.01
9,2024-07-30,1,False,False,True,False,83.26,83,4015.5
10,2024-07-30,1,False,False,True,False,156.61,157,6712.34
11,2024-07-30,1,False,False,True,False,176.7,177,7191.91
12,2024-07-30,1,False,False,True,False,139.21,139,5250.61
1,2024-07-31,2,False,False,True,False,88.09,88,4532.24
2,2024-07-31,2,False,False,True,False,136.75,137,5990.08
3,2024-07-31,2,False,False,True,False,111.31,111,4861.19
4,2024-07-31,2,False,False,True,False,148.04,148,6727.21
5,2024-07-31,2,False,False,True,False,156.49,156,6394.24
6,2024-07-31,2,False,False,True,False,151.51,152,5673.61
7,2024-07-31,2,False,False,True,False,139.97,140,6517.58
8,2024-07-31,2,False,False,True,False,143.84,144,7740.56
9,2024-07-31,2,False,False,True,False,125.41,125,5432.96
10,2024-07-31,2,False,False,True,False,150.69,151,7308.27
11,2024-07-31,2,False,False,True,False,136.65,137,6786.36
12,2024-07-31,2,False,False,True,False,151.85,152,6574.78
1,2024-08-01,3,False,False,True,False,98.97,99,5278.7
2,2024-08-01,3,False,False,True,False,144.92,145,7219.78
3,2024-08-01,3,False,False,True,False,145.22,145,6553.47
4,2024-08-01,3,False,False,True,False,144.23,144,5815.55
5,2024-08-01,3,False,False,True,False,162.86,163,7901.6
6,2024-08-01,3,False,False,True,False,239.73,240,12649.73
7,2024-08-01,3,False,False,True,False,152.87,153,8325.84
8,2024-08-01,3,False,False,True,False,132.42,132,7214.07
9,2024-08-01,3,False,False,True,False,80.11,80,4301.05
10,2024-08-01,3,False,False,True,False,112.6,113,4052.38
11,2024-08-01,3,False,False,True,False,166.98,167,7929.62
12,2024-08-01,3,False,False,True,False,123.68,124,5646.16
1,2024-08-02,4,False,False,True,False,109.07,109,4289.63
2,2024-08-02,4,False,False,True,False,219.57,220,8284.39
3,2024-08-02,4,False,False,True,False,137.68,138,6598.97
4,2024-08-02,4,False,False,True,False,170.61,171,8460.41
5,2024-08-02,4,False,False,True,False,225.1,225,8983.42
6,2024-08-02,4,False,False,True,False,242.1,242,10662.86
7,2024-08-02,4,False,False,True,False,177.67,178,7383.52
8,2024-08-02,4,False,False,True,False,205.72,206,7482.73
9,2024-08-02,4,False,False,True,False,116.8,117,5297.08
10,2024-08-02,4,False,False,True,False,208.41,208,10092.33
11,2024-08-02,4,False,False,True,False,245.87,246,9536.52
12,2024-08-02,4,False,False,True,False,163.81,164,6691.23
1,2024-08-03,5,True,False,True,False,148.76,149,7680.4
2,2024-08-03,5,True,False,True,False,241.33,241,9146.54
3,2024-08-03,5,True,False,True,False,116.44,116,4595.83
4,2024-08-03,5,True,False,True,False,166.14,166,9052.54
5,2024-08-03,5,True,False,True,False,167.06,167,8434.66
6,2024-08-03,5,True,False,True,False,329.42,329,15775.29
7,2024-08-03,5,True,False,True,False,183.81,184,6580.63
8,2024-08-03,5,True,False,True,False,145.75,146,6358.89
9,2024-08-03,5,True,False,True,False,129.32,129,6721.69
10,2024-08-03,5,True,False,True,False,225.27,225,9271.16
11,2024-08-03,5,True,False,True,False,178.39,178,8763.87
12,2024-08-03,5,True,False,True,False,166.0,166,6395.01
1,2024-08-04,6,True,False,True,False,107.8,108,4857.09
2,2024-08-04,6,True,False,True,False,227.45,227,10335.14
3,2024-08-04,6,True,False,True,False,148.26,148,6184.06
4,2024-08-04,6,True,False,True,False,185.49,185,7529.04
5,2024-08-04,6,True,False,True,False,196.84,197,7482.53
6,2024-08-04,6,True,False,True,False,247.95,248,9328.94
7,2024-08-04,6,True,False,True,False,205.19,205,9986.28
8,2024-08-04,6,True,False,True,False,129.59,130,5194.47
9,2024-08-04,6,True,False,True,False,107.22,107,4544.91
10,2024-08-04,6,True,False,True,False,182.67,183,8622.11
11,2024-08-04,6,True,False,True,False,242.1,242,13204.62
12,2024-08-04,6,True,False,True,False,137.67,138,5609.2
1,2024-08-05,0,False,False,True,False,93.34,93,3744.41
2,2024-08-05,0,False,False,True,False,213.78,214,10900.39
3,2024-08-05,0,False,False,True,False,86.42,86,3135.69
4,2024-08-05,0,False,False,True,False,138.32,138,6593.97
5,2024-08-05,0,False,False,True,False,144.42,144,5212.97
6,2024-08-05,0,False,False,True,False,173.25,173,6679.01
7,2024-08-05,0,False,False,True,False,137.47,137,5174.3
8,2024-08-05,0,False,False,True,False,114.12,114,5232.98
9,2024-08-05,0,False,False,True,False,113.86,114,5034.54
10,2024-08-05,0,False,False,True,False,99.96,100,5022.32
11,2024-08-05,0,False,False,True,False,183.71,184,7899.09
12,2024-08-05,0,False,False,True,False,113.1,113,5518.5
1,2024-08-06,1,False,False,True,False,88.58,89,3824.73
2,2024-08-06,1,False,False,True,False,162.39,162,7420.95
3,2024-08-06,1,False,False,True,False,82.56,83,4486.16
4,2024-08-06,1,False,False,True,False,137.23,137,5093.41
5,2024-08-06,1,False,False,True,False,125.64,126,6905.47
6,2024-08-06,1,False,False,True,False,169.07,169,6447.34
7,2024-08-06,1,False,False,True,False,130.82,131,6597.39
8,2024-08-06,1,False,False,True,False,110.67,111,5566.08
9,2024-08-06,1,False,False,True,False,80.64,81,4041.1
10,2024-08-06,1,False,False,True,False,103.86,104,3916.83
11,2024-08-06,1,False,False,True,False,212.61,213,7851.87
12,2024-08-06,1,False,False,True,False,100.77,101,5277.63
1,2024-08-07,2,False,False,True,False,89.59,90,4834.99
2,2024-08-07,2,False,False,True,False,122.6,123,5150.68
3,2024-08-07,2,False,False,True,False,97.71,98,4908.29
4,2024-08-07,2,False,False,True,False,114.36,114,4001.21
5,2024-08-07,2,False,False,True,False,127.24,127,4508.66
6,2024-08-07,2,False,False,True,False,199.09,199,7440.45
7,2024-08-07,2,False,False,True,False,106.64,107,4132.86
8,2024-08-07,2,False,False,True,False,149.77,150,6389.39
9,2024-08-07,2,False,False,True,False,101.74,102,4226.67
10,2024-08-07,2,False,False,True,False,117.12,117,4789.8
11,2024-08-07,2,False,False,True,False,132.32,132,5002.26
12,2024-08-07,2,False,False,True,False,140.64,141,6155.52
1,2024-08-08,3,False,False,True,False,87.88,88,4676.72
2,2024-08-08,3,False,False,True,False,191.76,192,8715.43
3,2024-08-08,3,False,False,True,False,107.42,107,5114.78
4,2024-08-08,3,False,False,True,False,133.08,133,4771.85
5,2024-08-08,3,False,False,True,False,217.26,217,9271.05
6,2024-08-08,3,False,False,True,False,173.58,174,9366.56
