employee_id,base_hourly_rate,kiwisaver_employer_rate,kiwisaver_employer_cost_per_hour,leave_loading_rate,leave_loading_cost_per_hour,insurance_monthly_cost,insurance_cost_per_hour,flexibility_premium_rate,flexibility_premium_cost_per_hour,fully_loaded_cost_per_hour
50,27.37,0.03,0.82,0.08,2.19,0.0,0.0,0.0537,1.47,31.85
51,24.61,0.03,0.74,0.08,1.97,38.04,0.24,0.0349,0.86,28.41
52,25.88,0.03,0.78,0.08,2.07,16.1,0.1,0.0322,0.83,29.66
53,27.11,0.03,0.81,0.08,2.17,57.04,0.36,0.0119,0.32,30.77
54,28.1,0.03,0.84,0.08,2.25,25.84,0.16,0.0223,0.63,31.98
55,26.36,0.03,0.79,0.08,2.11,37.09,0.23,0.0499,1.31,30.81
56,25.86,0.03,0.78,0.08,2.07,43.93,0.27,0.0094,0.24,29.22
57,27.34,0.03,0.82,0.08,2.19,0.0,0.0,0.0271,0.74,31.09
58,26.63,0.03,0.8,0.08,2.13,29.17,0.18,0.0319,0.85,30.59
59,26.14,0.03,0.78,0.08,2.09,60.22,0.38,0.06,1.57,30.96
60,28.12,0.03,0.84,0.08,2.25,20.27,0.13,0.0473,1.33,32.67
61,25.3,0.03,0.76,0.08,2.02,0.0,0.0,0.0298,0.75,28.84
62,25.1,0.03,0.75,0.08,2.01,0.0,0.0,0.0544,1.37,29.23
63,26.43,0.03,0.79,0.08,2.11,0.0,0.0,0.0274,0.72,30.06
64,27.42,0.03,0.82,0.08,2.19,0.0,0.0,0.0548,1.5,31.94
65,25.37,0.03,0.76,0.08,2.03,0.0,0.0,0.0193,0.49,28.65
66,25.37,0.03,0.76,0.08,2.03,50.44,0.32,0.0514,1.3,29.78
67,34.23,0.03,1.03,0.08,2.74,0.0,0.0,0.0319,1.09,39.09
68,27.51,0.03,0.83,0.08,2.2,29.75,0.19,0.0236,0.65,31.37
69,26.02,0.03,0.78,0.08,2.08,41.48,0.26,0.0343,0.89,30.03
70,26.01,0.03,0.78,0.08,2.08,0.0,0.0,0.0409,1.06,29.93
71,27.47,0.03,0.82,0.08,2.2,48.26,0.3,0.0532,1.46,32.26
72,24.54,0.03,0.74,0.08,1.96,43.86,0.27,0.0445,1.09,28.61
73,31.34,0.03,0.94,0.08,2.51,51.61,0.32,0.0295,0.93,36.04
74,31.07,0.03,0.93,0.08,2.49,60.05,0.38,0.0454,1.41,36.27
75,27.33,0.03,0.82,0.08,2.19,0.0,0.0,0.043,1.18,31.51
76,25.57,0.03,0.77,0.08,2.05,31.17,0.19,0.0364,0.93,29.51
77,25.94,0.03,0.78,0.08,2.08,0.0,0.0,0.0314,0.81,29.61
78,25.0,0.03,0.75,0.08,2.0,28.09,0.18,0.0392,0.98,28.91
79,27.59,0.03,0.83,0.08,2.21,0.0,0.0,0.0445,1.23,31.85
80,27.25,0.03,0.82,0.08,2.18,59.95,0.37,0.06,1.64,32.26
81,24.91,0.03,0.75,0.08,1.99,0.0,0.0,0.0496,1.24,28.89
82,26.66,0.03,0.8,0.08,2.13,59.31,0.37,0.0501,1.34,31.3
83,27.63,0.03,0.83,0.08,2.21,37.13,0.23,0.06,1.66,32.56
84,24.51,0.03,0.74,0.08,1.96,62.09,0.39,0.044,1.08,28.67
85,26.05,0.03,0.78,0.08,2.08,69.97,0.44,0.0534,1.39,30.74
86,26.44,0.03,0.79,0.08,2.12,34.72,0.22,0.0465,1.23,30.79
87,25.67,0.03,0.77,0.08,2.05,0.0,0.0,0.0239,0.61,29.11
88,25.45,0.03,0.76,0.08,2.04,0.0,0.0,0.0313,0.8,29.05
89,39.36,0.03,1.18,0.08,3.15,0.0,0.0,0.0305,1.2,44.89
90,25.14,0.03,0.75,0.08,2.01,52.88,0.33,0.0457,1.15,29.39
91,26.35,0.03,0.79,0.08,2.11,17.05,0.11,0.054,1.42,30.78
92,26.97,0.03,0.81,0.08,2.16,0.0,0.0,0.039,1.05,30.99
93,26.51,0.03,0.8,0.08,2.12,0.0,0.0,0.0515,1.37,30.79
94,25.42,0.03,0.76,0.08,2.03,54.78,0.34,0.0486,1.24,29.79
95,27.46,0.03,0.82,0.08,2.2,0.0,0.0,0.035,0.96,31.44
96,25.79,0.03,0.77,0.08,2.06,55.3,0.35,0.0284,0.73,29.7
97,28.44,0.03,0.85,0.08,2.28,0.0,0.0,0.0522,1.48,33.05
98,30.16,0.03,0.9,0.08,2.41,0.0,0.0,0.0474,1.43,34.91
99,27.24,0.03,0.82,0.08,2.18,0.0,0.0,0.058,1.58,31.82
100,35.3,0.03,1.06,0.08,2.82,44.89,0.28,0.0331,1.17,40.63
101,25.84,0.03,0.78,0.08,2.07,0.0,0.0,0.0394,1.02,29.7
102,26.24,0.03,0.79,0.08,2.1,26.87,0.17,0.0475,1.25,30.54
103,28.2,0.03,0.85,0.08,2.26,0.0,0.0,0.0492,1.39,32.69
104,35.6,0.03,1.07,0.08,2.85,54.69,0.34,0.0409,1.46,41.31
105,27.03,0.03,0.81,0.08,2.16,0.0,0.0,0.0449,1.21,31.22
106,45.4,0.03,1.36,0.08,3.63,0.0,0.0,0.038,1.73,52.12
107,24.74,0.03,0.74,0.08,1.98,41.96,0.26,0.0283,0.7,28.42
108,28.97,0.03,0.87,0.08,2.32,33.09,0.21,0.0338,0.98,33.34
109,28.89,0.03,0.87,0.08,2.31,0.0,0.0,0.0374,1.08,33.15
110,27.11,0.03,0.81,0.08,2.17,33.58,0.21,0.0367,1.0,31.3
111,32.19,0.03,0.97,0.08,2.58,44.07,0.28,0.0123,0.4,36.4
112,26.86,0.03,0.81,0.08,2.15,46.95,0.29,0.032,0.86,30.97
113,31.15,0.03,0.93,0.08,2.49,44.5,0.28,0.0379,1.18,36.04
114,27.94,0.03,0.84,0.08,2.24,0.0,0.0,0.0335,0.94,31.95
115,27.72,0.03,0.83,0.08,2.22,27.42,0.17,0.034,0.94,31.88
116,24.8,0.03,0.74,0.08,1.98,66.34,0.41,0.0436,1.08,29.02
117,25.61,0.03,0.77,0.08,2.05,57.03,0.36,0.023,0.59,29.37
118,24.75,0.03,0.74,0.08,1.98,64.74,0.4,0.0157,0.39,28.27
119,27.81,0.03,0.83,0.08,2.22,64.89,0.41,0.0326,0.91,32.18
120,25.84,0.03,0.78,0.08,2.07,0.0,0.0,0.0473,1.22,29.9
121,26.86,0.03,0.81,0.08,2.15,42.65,0.27,0.0595,1.6,31.68
122,27.44,0.03,0.82,0.08,2.2,47.15,0.29,0.0475,1.3,32.06
123,28.47,0.03,0.85,0.08,2.28,0.0,0.0,0.0178,0.51,32.11
124,25.57,0.03,0.77,0.08,2.05,44.13,0.28,0.0341,0.87,29.53
125,27.8,0.03,0.83,0.08,2.22,0.0,0.0,0.0406,1.13,31.99
126,27.61,0.03,0.83,0.08,2.21,22.18,0.14,0.0395,1.09,31.88
127,32.78,0.03,0.98,0.08,2.62,52.01,0.33,0.0443,1.45,38.16
128,28.39,0.03,0.85,0.08,2.27,57.76,0.36,0.0251,0.71,32.59
129,25.74,0.03,0.77,0.08,2.06,0.0,0.0,0.038,0.98,29.55
130,26.77,0.03,0.8,0.08,2.14,0.0,0.0,0.0427,1.14,30.86
131,26.8,0.03,0.8,0.08,2.14,55.36,0.35,0.0481,1.29,31.38
132,25.41,0.03,0.76,0.08,2.03,52.33,0.33,0.0266,0.68,29.21
133,25.61,0.03,0.77,0.08,2.05,41.32,0.26,0.0326,0.84,29.52
134,25.14,0.03,0.75,0.08,2.01,0.0,0.0,0.0015,0.04,27.94
135,24.86,0.03,0.75,0.08,1.99,0.0,0.0,0.029,0.72,28.32
136,26.73,0.03,0.8,0.08,2.14,0.0,0.0,0.0303,0.81,30.48
137,26.43,0.03,0.79,0.08,2.11,0.0,0.0,0.0238,0.63,29.97
138,25.97,0.03,0.78,0.08,2.08,42.42,0.27,0.0394,1.02,30.11
139,26.92,0.03,0.81,0.08,2.15,0.0,0.0,0.0365,0.98,30.86
140,42.99,0.03,1.29,0.08,3.44,56.91,0.36,0.0074,0.32,48.39
141,40.63,0.03,1.22,0.08,3.25,48.26,0.3,0.04,1.63,47.03
142,29.21,0.03,0.88,0.08,2.34,0.0,0.0,0.025,0.73,33.15
143,26.73,0.03,0.8,0.08,2.14,21.41,0.13,0.0436,1.17,30.97
144,27.43,0.03,0.82,0.08,2.19,0.0,0.0,0.0203,0.56,31.0
145,24.76,0.03,0.74,0.08,1.98,0.0,0.0,0.0376,0.93,28.42
146,28.33,0.03,0.85,0.08,2.27,0.0,0.0,0.0335,0.95,32.39
147,27.96,0.03,0.84,0.08,2.24,32.3,0.2,0.0412,1.15,32.39
148,27.96,0.03,0.84,0.08,2.24,45.95,0.29,0.0388,1.09,32.41
149,31.48,0.03,0.94,0.08,2.52,0.0,0.0,0.0338,1.07,36.01
150,26.69,0.03,0.8,0.08,2.14,0.0,0.0,0.0169,0.45,30.08
151,26.59,0.03,0.8,0.08,2.13,58.16,0.36,0.0177,0.47,30.35
152,26.88,0.03,0.81,0.08,2.15,0.0,0.0,0.0295,0.79,30.63
153,44.33,0.03,1.33,0.08,3.55,43.25,0.27,0.0371,1.64,51.12
154,27.99,0.03,0.84,0.08,2.24,0.0,0.0,0.0292,0.82,31.89
155,27.22,0.03,0.82,0.08,2.18,0.0,0.0,0.0455,1.24,31.45
156,25.28,0.03,0.76,0.08,2.02,37.81,0.24,0.0335,0.85,29.15
157,26.29,0.03,0.79,0.08,2.1,24.74,0.15,0.0245,0.64,29.98
158,25.42,0.03,0.76,0.08,2.03,0.0,0.0,0.0335,0.85,29.07
159,25.86,0.03,0.78,0.08,2.07,0.0,0.0,0.0402,1.04,29.74
160,26.48,0.03,0.79,0.08,2.12,0.0,0.0,0.0415,1.1,30.49
161,32.39,0.03,0.97,0.08,2.59,45.87,0.29,0.06,1.94,38.18
162,25.51,0.03,0.77,0.08,2.04,0.0,0.0,0.0284,0.72,29.04
163,25.0,0.03,0.75,0.08,2.0,62.5,0.39,0.0362,0.91,29.05
164,25.2,0.03,0.76,0.08,2.02,44.54,0.28,0.0428,1.08,29.33
165,27.56,0.03,0.83,0.08,2.2,48.46,0.3,0.0369,1.02,31.91
166,32.16,0.03,0.96,0.08,2.57,0.0,0.0,0.0306,0.98,36.68
167,25.18,0.03,0.76,0.08,2.01,0.0,0.0,0.0167,0.42,28.37
168,24.58,0.03,0.74,0.08,1.97,0.0,0.0,0.0305,0.75,28.03
169,26.46,0.03,0.79,0.08,2.12,0.0,0.0,0.023,0.61,29.98
170,36.52,0.03,1.1,0.08,2.92,66.78,0.42,0.0568,2.07,43.03
171,26.29,0.03,0.79,0.08,2.1,39.43,0.25,0.0267,0.7,30.13
172,26.52,0.03,0.8,0.08,2.12,38.75,0.24,0.0234,0.62,30.3
173,27.73,0.03,0.83,0.08,2.22,22.74,0.14,0.0449,1.24,32.17
174,26.08,0.03,0.78,0.08,2.09,21.56,0.13,0.0451,1.18,30.26
175,26.88,0.03,0.81,0.08,2.15,0.0,0.0,0.0253,0.68,30.52
176,24.69,0.03,0.74,0.08,1.98,0.0,0.0,0.0338,0.83,28.24
177,47.29,0.03,1.42,0.08,3.78,0.0,0.0,0.0583,2.76,55.25
178,47.69,0.03,1.43,0.08,3.82,49.85,0.31,0.0307,1.46,54.71
179,27.09,0.03,0.81,0.08,2.17,34.95,0.22,0.0425,1.15,31.44
180,25.9,0.03,0.78,0.08,2.07,19.08,0.12,0.0481,1.24,30.11
181,25.77,0.03,0.77,0.08,2.06,53.05,0.33,0.0278,0.72,29.65
182,45.0,0.03,1.35,0.08,3.6,18.83,0.12,0.0511,2.3,52.37
183,26.71,0.03,0.8,0.08,2.14,29.95,0.19,0.0172,0.46,30.3
184,26.0,0.03,0.78,0.08,2.08,7.03,0.04,0.0208,0.54,29.44
185,26.58,0.03,0.8,0.08,2.13,0.0,0.0,0.0466,1.24,30.74
186,26.62,0.03,0.8,0.08,2.13,24.81,0.16,0.0593,1.58,31.28
187,32.96,0.03,0.99,0.08,2.64,24.8,0.15,0.0437,1.44,38.18
188,28.08,0.03,0.84,0.08,2.25,44.48,0.28,0.0367,1.03,32.48
189,26.75,0.03,0.8,0.08,2.14,70.76,0.44,0.0082,0.22,30.35
190,42.4,0.03,1.27,0.08,3.39,49.7,0.31,0.0105,0.45,47.82
191,36.33,0.03,1.09,0.08,2.91,47.46,0.3,0.0389,1.41,42.04
192,30.23,0.03,0.91,0.08,2.42,0.0,0.0,0.0541,1.64,35.19
193,24.66,0.03,0.74,0.08,1.97,35.64,0.22,0.0226,0.56,28.15
194,27.25,0.03,0.82,0.08,2.18,0.0,0.0,0.038,1.04,31.28
195,26.52,0.03,0.8,0.08,2.12,41.75,0.26,0.0387,1.03,30.72
196,26.03,0.03,0.78,0.08,2.08,34.88,0.22,0.0497,1.29,30.4
197,25.85,0.03,0.78,0.08,2.07,70.71,0.44,0.039,1.01,30.14
198,25.13,0.03,0.75,0.08,2.01,59.39,0.37,0.0534,1.34,29.61
199,27.06,0.03,0.81,0.08,2.16,34.86,0.22,0.0373,1.01,31.26
200,35.72,0.03,1.07,0.08,2.86,0.0,0.0,0.0357,1.28,40.92
201,24.69,0.03,0.74,0.08,1.98,57.22,0.36,0.0512,1.27,29.03
202,27.19,0.03,0.82,0.08,2.18,0.0,0.0,0.0243,0.66,30.84
203,26.69,0.03,0.8,0.08,2.14,19.99,0.12,0.06,1.6,31.35
204,26.71,0.03,0.8,0.08,2.14,35.77,0.22,0.0422,1.13,31.0
205,25.79,0.03,0.77,0.08,2.06,53.73,0.34,0.0422,1.09,30.05
206,28.67,0.03,0.86,0.08,2.29,71.91,0.45,0.0442,1.27,33.54
207,26.26,0.03,0.79,0.08,2.1,36.43,0.23,0.06,1.58,30.95
208,26.77,0.03,0.8,0.08,2.14,0.0,0.0,0.0476,1.28,30.99
209,27.79,0.03,0.83,0.08,2.22,0.0,0.0,0.016,0.45,31.29
210,26.48,0.03,0.79,0.08,2.12,0.0,0.0,0.0547,1.45,30.84
211,25.8,0.03,0.77,0.08,2.06,43.66,0.27,0.0327,0.84,29.75
212,27.12,0.03,0.81,0.08,2.17,0.0,0.0,0.0386,1.05,31.15
213,26.1,0.03,0.78,0.08,2.09,37.51,0.23,0.0203,0.53,29.74
214,26.45,0.03,0.79,0.08,2.12,0.0,0.0,0.0442,1.17,30.53
215,26.08,0.03,0.78,0.08,2.09,0.0,0.0,0.0286,0.75,29.7
216,26.25,0.03,0.79,0.08,2.1,0.0,0.0,0.0385,1.01,30.15
217,24.86,0.03,0.75,0.08,1.99,0.0,0.0,0.0334,0.83,28.43
218,25.95,0.03,0.78,0.08,2.08,0.0,0.0,0.06,1.56,30.36
219,28.74,0.03,0.86,0.08,2.3,50.31,0.31,0.06,1.72,33.94
220,38.57,0.03,1.16,0.08,3.09,0.0,0.0,0.0378,1.46,44.27
221,26.45,0.03,0.79,0.08,2.12,36.8,0.23,0.0565,1.49,31.08
222,27.76,0.03,0.83,0.08,2.22,0.0,0.0,0.0323,0.9,31.71
223,24.63,0.03,0.74,0.08,1.97,0.0,0.0,0.0518,1.28,28.61
224,27.8,0.03,0.83,0.08,2.22,56.96,0.36,0.0329,0.91,32.13
225,25.87,0.03,0.78,0.08,2.07,29.95,0.19,0.0316,0.82,29.72
226,24.57,0.03,0.74,0.08,1.97,48.14,0.3,0.0501,1.23,28.8
227,25.37,0.03,0.76,0.08,2.03,28.66,0.18,0.0301,0.76,29.1
228,24.86,0.03,0.75,0.08,1.99,69.83,0.44,0.0367,0.91,28.94
229,25.69,0.03,0.77,0.08,2.06,0.0,0.0,0.0163,0.42,28.94
230,26.24,0.03,0.79,0.08,2.1,50.66,0.32,0.0465,1.22,30.66
231,25.7,0.03,0.77,0.08,2.06,0.0,0.0,0.06,1.54,30.07
232,26.35,0.03,0.79,0.08,2.11,55.55,0.35,0.0467,1.23,30.83
233,24.5,0.03,0.73,0.08,1.96,51.13,0.32,0.0565,1.38,28.9
234,25.07,0.03,0.75,0.08,2.01,43.27,0.27,0.026,0.65,28.75
235,28.56,0.03,0.86,0.08,2.28,0.0,0.0,0.0403,1.15,32.85
236,40.79,0.03,1.22,0.08,3.26,43.04,0.27,0.0248,1.01,46.56
237,37.27,0.03,1.12,0.08,2.98,42.9,0.27,0.0342,1.27,42.91
238,27.52,0.03,0.83,0.08,2.2,43.97,0.27,0.0474,1.3,32.13
239,25.72,0.03,0.77,0.08,2.06,0.0,0.0,0.0385,0.99,29.54
240,24.63,0.03,0.74,0.08,1.97,59.86,0.37,0.0185,0.46,28.17
241,27.79,0.03,0.83,0.08,2.22,0.0,0.0,0.0199,0.55,31.4
242,24.88,0.03,0.75,0.08,1.99,0.0,0.0,0.019,0.47,28.09
243,24.94,0.03,0.75,0.08,2.0,0.0,0.0,0.0565,1.41,29.09
244,25.66,0.03,0.77,0.08,2.05,33.21,0.21,0.06,1.54,30.23
245,27.93,0.03,0.84,0.08,2.23,38.89,0.24,0.0552,1.54,32.79
246,31.71,0.03,0.95,0.08,2.54,56.19,0.35,0.0122,0.39,35.94
247,27.75,0.03,0.83,0.08,2.22,72.64,0.45,0.056,1.55,32.81
248,29.44,0.03,0.88,0.08,2.36,0.0,0.0,0.0496,1.46,34.14
249,24.81,0.03,0.74,0.08,1.98,43.96,0.27,0.0168,0.42,28.23
250,27.91,0.03,0.84,0.08,2.23,50.65,0.32,0.0332,0.93,32.22
251,25.21,0.03,0.76,0.08,2.02,24.81,0.16,0.0556,1.4,29.54
252,41.97,0.03,1.26,0.08,3.36,32.81,0.21,0.0445,1.87,48.66
253,26.89,0.03,0.81,0.08,2.15,45.72,0.29,0.0199,0.54,30.67
254,26.34,0.03,0.79,0.08,2.11,0.0,0.0,0.0452,1.19,30.43
255,27.76,0.03,0.83,0.08,2.22,48.2,0.3,0.009,0.25,31.36
256,24.95,0.03,0.75,0.08,2.0,0.0,0.0,0.0343,0.85,28.55
257,27.49,0.03,0.82,0.08,2.2,0.0,0.0,0.0522,1.43,31.95
258,30.27,0.03,0.91,0.08,2.42,58.02,0.36,0.0374,1.13,35.1
259,31.89,0.03,0.96,0.08,2.55,47.36,0.3,0.0306,0.98,36.67
260,27.89,0.03,0.84,0.08,2.23,30.44,0.19,0.049,1.37,32.51
261,24.82,0.03,0.74,0.08,1.99,55.51,0.35,0.0523,1.3,29.2
262,27.73,0.03,0.83,0.08,2.22,27.66,0.17,0.0545,1.51,32.46
263,41.08,0.03,1.23,0.08,3.29,0.0,0.0,0.0487,2.0,47.6
264,26.97,0.03,0.81,0.08,2.16,0.0,0.0,0.0515,1.39,31.33
265,25.02,0.03,0.75,0.08,2.0,26.32,0.16,0.0469,1.17,29.11
266,31.2,0.03,0.94,0.08,2.5,51.44,0.32,0.0407,1.27,36.22
267,26.86,0.03,0.81,0.08,2.15,44.86,0.28,0.0384,1.03,31.13
268,25.87,0.03,0.78,0.08,2.07,0.0,0.0,0.0341,0.88,29.6
269,24.96,0.03,0.75,0.08,2.0,43.3,0.27,0.0212,0.53,28.5
270,25.35,0.03,0.76,0.08,2.03,0.0,0.0,0.0246,0.62,28.76
271,27.99,0.03,0.84,0.08,2.24,0.0,0.0,0.0335,0.94,32.01
272,32.55,0.03,0.98,0.08,2.6,20.64,0.13,0.0404,1.31,37.57
273,43.34,0.03,1.3,0.08,3.47,33.75,0.21,0.0562,2.44,50.75
274,27.5,0.03,0.82,0.08,2.2,50.81,0.32,0.0367,1.01,31.85
275,25.03,0.03,0.75,0.08,2.0,0.0,0.0,0.0505,1.26,29.05
276,25.06,0.03,0.75,0.08,2.0,67.25,0.42,0.0514,1.29,29.53
277,26.86,0.03,0.81,0.08,2.15,0.0,0.0,0.0341,0.92,30.73
278,24.71,0.03,0.74,0.08,1.98,0.0,0.0,0.0451,1.11,28.54
279,27.74,0.03,0.83,0.08,2.22,0.0,0.0,0.034,0.94,31.73
280,42.94,0.03,1.29,0.08,3.44,53.62,0.34,0.0547,2.35,50.35
281,31.53,0.03,0.95,0.08,2.52,66.0,0.41,0.053,1.67,37.08
282,26.64,0.03,0.8,0.08,2.13,0.0,0.0,0.0215,0.57,30.14
283,26.59,0.03,0.8,0.08,2.13,47.53,0.3,0.0394,1.05,30.86
284,27.67,0.03,0.83,0.08,2.21,0.0,0.0,0.059,1.63,32.35
285,25.93,0.03,0.78,0.08,2.07,28.43,0.18,0.0348,0.9,29.86
286,26.19,0.03,0.79,0.08,2.1,49.17,0.31,0.0431,1.13,30.51
287,27.59,0.03,0.83,0.08,2.21,0.0,0.0,0.0444,1.22,31.85
288,26.83,0.03,0.8,0.08,2.15,17.34,0.11,0.0235,0.63,30.52
289,27.09,0.03,0.81,0.08,2.17,86.94,0.54,0.0439,1.19,31.8
290,25.46,0.03,0.76,0.08,2.04,30.37,0.19,0.0188,0.48,28.93
291,24.97,0.03,0.75,0.08,2.0,30.33,0.19,0.0289,0.72,28.63
292,25.36,0.03,0.76,0.08,2.03,0.0,0.0,0.0514,1.3,29.45
293,25.05,0.03,0.75,0.08,2.0,26.78,0.17,0.0419,1.05,29.02
294,27.95,0.03,0.84,0.08,2.24,59.1,0.37,0.0332,0.93,32.32
295,25.28,0.03,0.76,0.08,2.02,38.7,0.24,0.0431,1.09,29.39
296,27.35,0.03,0.82,0.08,2.19,0.0,0.0,0.0364,1.0,31.35
297,25.09,0.03,0.75,0.08,2.01,46.1,0.29,0.0374,0.94,29.08
298,36.54,0.03,1.1,0.08,2.92,0.0,0.0,0.0459,1.68,42.24
299,25.75,0.03,0.77,0.08,2.06,0.0,0.0,0.0276,0.71,29.29
300,26.46,0.03,0.79,0.08,2.12,37.85,0.24,0.0377,1.0,30.61
301,26.9,0.03,0.81,0.08,2.15,0.0,0.0,0.0331,0.89,30.75
302,27.37,0.03,0.82,0.08,2.19,0.0,0.0,0.0163,0.45,30.83
303,28.94,0.03,0.87,0.08,2.32,52.47,0.33,0.025,0.72,33.18
304,25.04,0.03,0.75,0.08,2.0,25.5,0.16,0.0579,1.45,29.4
305,28.77,0.03,0.86,0.08,2.3,0.0,0.0,0.0423,1.22,33.15
306,28.89,0.03,0.87,0.08,2.31,0.0,0.0,0.0197,0.57,32.64
307,28.2,0.03,0.85,0.08,2.26,0.0,0.0,0.0169,0.48,31.78
308,26.05,0.03,0.78,0.08,2.08,0.0,0.0,0.0357,0.93,29.85
309,25.68,0.03,0.77,0.08,2.05,50.13,0.31,0.0578,1.48,30.3
310,25.36,0.03,0.76,0.08,2.03,0.0,0.0,0.0347,0.88,29.03
311,24.54,0.03,0.74,0.08,1.96,0.0,0.0,0.0545,1.34,28.58
312,25.37,0.03,0.76,0.08,2.03,29.03,0.18,0.0418,1.06,29.4
313,27.24,0.03,0.82,0.08,2.18,48.67,0.3,0.0434,1.18,31.72
314,32.78,0.03,0.98,0.08,2.62,44.1,0.28,0.0196,0.64,37.3
315,29.36,0.03,0.88,0.08,2.35,0.0,0.0,0.0496,1.46,34.04
316,28.6,0.03,0.86,0.08,2.29,36.54,0.23,0.0328,0.94,32.91
317,31.55,0.03,0.95,0.08,2.52,0.0,0.0,0.0486,1.53,36.55
318,25.4,0.03,0.76,0.08,2.03,61.34,0.38,0.0265,0.67,29.25
319,27.49,0.03,0.82,0.08,2.2,58.47,0.37,0.0395,1.09,31.97
320,25.46,0.03,0.76,0.08,2.04,0.0,0.0,0.0418,1.06,29.33
