date,year,month,day,day_of_week,is_weekend,is_public_holiday,public_holiday_name,public_holiday_region,is_school_term,is_retail_peak
2025-05-22,2025,5,22,3,False,False,,,True,False
2025-05-23,2025,5,23,4,False,False,,,True,False
2025-05-24,2025,5,24,5,True,False,,,True,False
2025-05-25,2025,5,25,6,True,False,,,True,False
2025-05-26,2025,5,26,0,False,False,,,True,False
2025-05-27,2025,5,27,1,False,False,,,True,False
2025-05-28,2025,5,28,2,False,False,,,True,False
2025-05-29,2025,5,29,3,False,False,,,True,False
2025-05-30,2025,5,30,4,False,False,,,True,False
2025-05-31,2025,5,31,5,True,False,,,True,False
2025-06-01,2025,6,1,6,True,False,,,True,False
2025-06-02,2025,6,2,0,False,True,King's Birthday,,True,False
2025-06-03,2025,6,3,1,False,False,,,True,False
2025-06-04,2025,6,4,2,False,False,,,True,False
2025-06-05,2025,6,5,3,False,False,,,True,False
2025-06-06,2025,6,6,4,False,False,,,True,False
2025-06-07,2025,6,7,5,True,False,,,True,False
2025-06-08,2025,6,8,6,True,False,,,True,False
2025-06-09,2025,6,9,0,False,False,,,True,False
2025-06-10,2025,6,10,1,False,False,,,True,False
2025-06-11,2025,6,11,2,False,False,,,True,False
2025-06-12,2025,6,12,3,False,False,,,True,False
2025-06-13,2025,6,13,4,False,False,,,True,False
2025-06-14,2025,6,14,5,True,False,,,True,False
2025-06-15,2025,6,15,6,True,False,,,True,False
2025-06-16,2025,6,16,0,False,False,,,True,False
2025-06-17,2025,6,17,1,False,False,,,True,False
2025-06-18,2025,6,18,2,False,False,,,True,False
2025-06-19,2025,6,19,3,False,False,,,True,False
2025-06-20,2025,6,20,4,False,False,,,True,False
2025-06-21,2025,6,21,5,True,False,,,True,False
2025-06-22,2025,6,22,6,True,False,,,True,False
2025-06-23,2025,6,23,0,False,False,,,True,False
2025-06-24,2025,6,24,1,False,False,,,True,False
2025-06-25,2025,6,25,2,False,False,,,True,False
2025-06-26,2025,6,26,3,False,False,,,True,False
2025-06-27,2025,6,27,4,False,False,,,True,False
2025-06-28,2025,6,28,5,True,False,,,True,False
2025-06-29,2025,6,29,6,True,False,,,True,False
2025-06-30,2025,6,30,0,False,False,,,True,False
2025-07-01,2025,7,1,1,False,False,,,True,False
2025-07-02,2025,7,2,2,False,False,,,True,False
2025-07-03,2025,7,3,3,False,False,,,True,False
2025-07-04,2025,7,4,4,False,False,,,True,False
2025-07-05,2025,7,5,5,True,False,,,False,True
2025-07-06,2025,7,6,6,True,False,,,False,True
2025-07-07,2025,7,7,0,False,False,,,False,True
2025-07-08,2025,7,8,1,False,False,,,False,True
2025-07-09,2025,7,9,2,False,False,,,False,True
2025-07-10,2025,7,10,3,False,False,,,False,True
2025-07-11,2025,7,11,4,False,False,,,False,True
2025-07-12,2025,7,12,5,True,False,,,False,True
2025-07-13,2025,7,13,6,True,False,,,False,True
2025-07-14,2025,7,14,0,False,False,,,False,True
2025-07-15,2025,7,15,1,False,False,,,False,True
2025-07-16,2025,7,16,2,False,False,,,False,True
2025-07-17,2025,7,17,3,False,False,,,False,True
2025-07-18,2025,7,18,4,False,False,,,False,True
2025-07-19,2025,7,19,5,True,False,,,False,True
2025-07-20,2025,7,20,6,True,False,,,False,True
2025-07-21,2025,7,21,0,False,False,,,True,False
2025-07-22,2025,7,22,1,False,False,,,True,False
2025-07-23,2025,7,23,2,False,False,,,True,False
2025-07-24,2025,7,24,3,False,False,,,True,False
2025-07-25,2025,7,25,4,False,False,,,True,False
2025-07-26,2025,7,26,5,True,False,,,True,False
2025-07-27,2025,7,27,6,True,False,,,True,False
2025-07-28,2025,7,28,0,False,False,,,True,False
2025-07-29,2025,7,29,1,False,False,,,True,False
2025-07-30,2025,7,30,2,False,False,,,True,False
2025-07-31,2025,7,31,3,False,False,,,True,False
2025-08-01,2025,8,1,4,False,False,,,True,False
2025-08-02,2025,8,2,5,True,False,,,True,False
2025-08-03,2025,8,3,6,True,False,,,True,False
2025-08-04,2025,8,4,0,False,False,,,True,False
2025-08-05,2025,8,5,1,False,False,,,True,False
2025-08-06,2025,8,6,2,False,False,,,True,False
2025-08-07,2025,8,7,3,False,False,,,True,False
2025-08-08,2025,8,8,4,False,False,,,True,False
2025-08-09,2025,8,9,5,True,False,,,True,False
2025-08-10,2025,8,10,6,True,False,,,True,False
2025-08-11,2025,8,11,0,False,False,,,True,False
2025-08-12,2025,8,12,1,False,False,,,True,False
2025-08-13,2025,8,13,2,False,False,,,True,False
2025-08-14,2025,8,14,3,False,False,,,True,False
2025-08-15,2025,8,15,4,False,False,,,True,False
2025-08-16,2025,8,16,5,True,False,,,True,False
2025-08-17,2025,8,17,6,True,False,,,True,False
2025-08-18,2025,8,18,0,False,False,,,True,False
2025-08-19,2025,8,19,1,False,False,,,True,False
2025-08-20,2025,8,20,2,False,False,,,True,False
2025-08-21,2025,8,21,3,False,False,,,True,False
2025-08-22,2025,8,22,4,False,False,,,True,False
2025-08-23,2025,8,23,5,True,False,,,True,False
2025-08-24,2025,8,24,6,True,False,,,True,False
2025-08-25,2025,8,25,0,False,False,,,True,False
2025-08-26,2025,8,26,1,False,False,,,True,False
2025-08-27,2025,8,27,2,False,False,,,True,False
2025-08-28,2025,8,28,3,False,False,,,True,False
2025-08-29,2025,8,29,4,False,False,,,True,False
2025-08-30,2025,8,30,5,True,False,,,True,False
2025-08-31,2025,8,31,6,True,False,,,True,False
2025-09-01,2025,9,1,0,False,False,,,True,False
2025-09-02,2025,9,2,1,False,False,,,True,False
2025-09-03,2025,9,3,2,False,False,,,True,False
2025-09-04,2025,9,4,3,False,False,,,True,False
2025-09-05,2025,9,5,4,False,False,,,True,False
2025-09-06,2025,9,6,5,True,False,,,True,False
2025-09-07,2025,9,7,6,True,False,,,True,False
2025-09-08,2025,9,8,0,False,False,,,True,False
2025-09-09,2025,9,9,1,False,False,,,True,False
2025-09-10,2025,9,10,2,False,False,,,True,False
2025-09-11,2025,9,11,3,False,False,,,True,False
2025-09-12,2025,9,12,4,False,False,,,True,False
2025-09-13,2025,9,13,5,True,False,,,True,False
2025-09-14,2025,9,14,6,True,False,,,True,False
2025-09-15,2025,9,15,0,False,False,,,True,False
2025-09-16,2025,9,16,1,False,False,,,True,False
2025-09-17,2025,9,17,2,False,False,,,True,False
2025-09-18,2025,9,18,3,False,False,,,True,False
2025-09-19,2025,9,19,4,False,False,,,True,False
2025-09-20,2025,9,20,5,True,False,,,True,False
2025-09-21,2025,9,21,6,True,False,,,True,False
2025-09-22,2025,9,22,0,False,False,,,True,False
2025-09-23,2025,9,23,1,False,False,,,True,False
2025-09-24,2025,9,24,2,False,False,,,True,False
2025-09-25,2025,9,25,3,False,False,,,True,False
2025-09-26,2025,9,26,4,False,False,,,True,False
2025-09-27,2025,9,27,5,True,False,,,False,True
2025-09-28,2025,9,28,6,True,False,,,False,True
2025-09-29,2025,9,29,0,False,False,,,False,True
2025-09-30,2025,9,30,1,False,False,,,False,True
2025-10-01,2025,10,1,2,False,False,,,False,True
2025-10-02,2025,10,2,3,False,False,,,False,True
2025-10-03,2025,10,3,4,False,False,,,False,True
2025-10-04,2025,10,4,5,True,False,,,False,True
2025-10-05,2025,10,5,6,True,False,,,False,True
2025-10-06,2025,10,6,0,False,False,,,False,True
2025-10-07,2025,10,7,1,False,False,,,False,True
2025-10-08,2025,10,8,2,False,False,,,False,True
2025-10-09,2025,10,9,3,False,False,,,False,True
2025-10-10,2025,10,10,4,False,False,,,False,True
2025-10-11,2025,10,11,5,True,False,,,False,True
2025-10-12,2025,10,12,6,True,False,,,False,True
2025-10-13,2025,10,13,0,False,False,,,True,False
2025-10-14,2025,10,14,1,False,False,,,True,False
2025-10-15,2025,10,15,2,False,False,,,True,False
2025-10-16,2025,10,16,3,False,False,,,True,False
2025-10-17,2025,10,17,4,False,False,,,True,False
2025-10-18,2025,10,18,5,True,False,,,True,False
2025-10-19,2025,10,19,6,True,False,,,True,False
2025-10-20,2025,10,20,0,False,False,,,True,False
2025-10-21,2025,10,21,1,False,False,,,True,False
2025-10-22,2025,10,22,2,False,False,,,True,False
2025-10-23,2025,10,23,3,False,False,,,True,False
2025-10-24,2025,10,24,4,False,False,,,True,False
2025-10-25,2025,10,25,5,True,False,,,True,False
2025-10-26,2025,10,26,6,True,False,,,True,False
2025-10-27,2025,10,27,0,False,True,Labour Day,,True,False
2025-10-28,2025,10,28,1,False,False,,,True,False
2025-10-29,2025,10,29,2,False,False,,,True,False
2025-10-30,2025,10,30,3,False,False,,,True,False
2025-10-31,2025,10,31,4,False,False,,,True,False
2025-11-01,2025,11,1,5,True,False,,,True,False
2025-11-02,2025,11,2,6,True,False,,,True,False
2025-11-03,2025,11,3,0,False,False,,,True,False
2025-11-04,2025,11,4,1,False,False,,,True,False
2025-11-05,2025,11,5,2,False,False,,,True,False
2025-11-06,2025,11,6,3,False,False,,,True,False
2025-11-07,2025,11,7,4,False,False,,,True,False
2025-11-08,2025,11,8,5,True,False,,,True,False
2025-11-09,2025,11,9,6,True,False,,,True,False
2025-11-10,2025,11,10,0,False,False,,,True,False
2025-11-11,2025,11,11,1,False,False,,,True,False
2025-11-12,2025,11,12,2,False,False,,,True,False
2025-11-13,2025,11,13,3,False,False,,,True,False
2025-11-14,2025,11,14,4,False,False,,,True,False
2025-11-15,2025,11,15,5,True,False,,,True,False
2025-11-16,2025,11,16,6,True,False,,,True,False
2025-11-17,2025,11,17,0,False,False,,,True,False
2025-11-18,2025,11,18,1,False,False,,,True,False
2025-11-19,2025,11,19,2,False,False,,,True,False
2025-11-20,2025,11,20,3,False,False,,,True,False
2025-11-21,2025,11,21,4,False,False,,,True,False
2025-11-22,2025,11,22,5,True,False,,,True,False
2025-11-23,2025,11,23,6,True,False,,,True,False
2025-11-24,2025,11,24,0,False,False,,,True,False
2025-11-25,2025,11,25,1,False,False,,,True,False
2025-11-26,2025,11,26,2,False,False,,,True,False
2025-11-27,2025,11,27,3,False,False,,,True,False
2025-11-28,2025,11,28,4,False,False,,,True,False
2025-11-29,2025,11,29,5,True,False,,,True,False
2025-11-30,2025,11,30,6,True,False,,,True,False
2025-12-01,2025,12,1,0,False,False,,,True,False
2025-12-02,2025,12,2,1,False,False,,,True,False
2025-12-03,2025,12,3,2,False,False,,,True,False
2025-12-04,2025,12,4,3,False,False,,,True,False
2025-12-05,2025,12,5,4,False,False,,,True,False
2025-12-06,2025,12,6,5,True,False,,,True,False
2025-12-07,2025,12,7,6,True,False,,,True,False
2025-12-08,2025,12,8,0,False,False,,,True,False
2025-12-09,2025,12,9,1,False,False,,,True,False
2025-12-10,2025,12,10,2,False,False,,,True,False
2025-12-11,2025,12,11,3,False,False,,,True,False
2025-12-12,2025,12,12,4,False,False,,,True,False
